Preoxidant dose (mg/L),Preoxidation time (h),Disinfectant dose (mg/L),Disinfectant/DOC,Total residual chlorine (mg/L),Reaction time (h),Temperature (C),pH,Buffer concentration (mM),Bromide concentration (ug/L),DOC (mg/L),UV254 (cm-1),SUVA254,Ammonia (mg-N/L),Nitrate (mg-N/L),Nitrite (mg-N/L),DON (mg/L),DON/DOC,Preoxidant,Disinfectant,Quenching agent,Buffer,Water source,DIN,Domain dissimilarity,Out distribution,RI,DCAN,prediction
0.0,0,8.1,1.8,0.3,48.0,20,7,1,89.0,4.5,0.074,1.644444444,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.21722328,0.110445738,0.614693975,7.084854761,5.365969677099372
4.5,24,8.1,1.8,0.1,48.0,20,7,1,89.0,4.5,0.074,1.644444444,0.06,0.58,0.003,0.28,0.082,5,1,0,4,1,0.643,0.362312447,-0.359288323,0.388443584,6.221959727,5.365969677099372
0.0,0,2.0,0.444444444,1.6,48.0,20,7,1,89.0,4.5,0.074,1.644444444,0.06,0.58,0.003,0.28,0.082,4,0,0,4,1,0.643,0.230034457,0.057344065,0.591810174,0.411263203,1.533266868281487
4.5,24,2.0,0.444444444,0.9,48.0,20,7,1,89.0,4.5,0.074,1.644444444,0.06,0.58,0.003,0.28,0.082,5,0,0,4,1,0.643,0.376425881,-0.392075137,0.369661805,0.500648203,1.275627432492172
1.5,48,1.5,0.333333333,0.0,0.0,20,7,1,89.0,4.5,0.074,1.644444444,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.814322197,-0.919679013,-0.090661401,0.225729789,-1.2286505979698745
0.0,0,5.8,0.743589744,0.3,48.0,20,7,1,7.092198582,7.8,0.136,1.743589744,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.262702137,0.082831747,0.573681334,9.169527541,5.863101517260645
7.8,24,5.8,0.743589744,0.12,48.0,20,7,1,7.092198582,7.8,0.136,1.743589744,0.06,0.58,0.003,0.28,0.082,5,1,0,4,1,0.643,0.465703586,-0.553191778,0.262424366,6.665925575,5.863101517260645
0.0,0,2.0,0.256410256,1.5,48.0,20,7,1,7.092198582,7.8,0.136,1.743589744,0.06,0.58,0.003,0.28,0.082,4,0,0,4,1,0.643,0.28008426,0.032922749,0.548167493,0.0,3.253620952992776
7.8,24,2.0,0.256410256,1.24,48.0,20,7,1,7.092198582,7.8,0.136,1.743589744,0.06,0.58,0.003,0.28,0.082,5,0,0,4,1,0.643,0.47610712,-0.574070622,0.249402005,0.0,3.0675399197927504
1.5,48,1.5,0.192307692,0.0,0.0,20,7,1,7.092198582,7.8,0.136,1.743589744,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.832841911,-0.922380443,-0.105226544,0.0,0.8337677233523095
0.0,0,10.0,1.234567901,0.24,48.0,20,7,1,38.0,8.1,0.193,2.382716049,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.2613682,0.072790243,0.572171411,15.21672827,13.840552583970009
1.5,48,1.5,0.185185185,0.0,0.0,20,7,1,38.0,8.1,0.193,2.382716049,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.828953572,-0.923351157,-0.102552968,0.1347853,2.7761401529443788
0.0,0,5.2,1.209302326,0.44,48.0,20,7,1,32.0,4.3,0.12,2.790697674,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.22444413,0.122660168,0.612331945,7.084854761,4.512505190551735
4.3,24,5.2,1.209302326,0.66,48.0,20,7,1,32.0,4.3,0.12,2.790697674,0.06,0.58,0.003,0.28,0.082,5,1,0,4,1,0.643,0.356510861,-0.341183262,0.397321038,6.221959727,4.512505190551735
0.0,0,2.6,0.604651163,1.42,48.0,20,7,1,32.0,4.3,0.12,2.790697674,0.06,0.58,0.003,0.28,0.082,4,0,0,4,1,0.643,0.240295441,0.067834672,0.586737087,0.411263203,2.216373388290947
4.3,24,2.6,0.604651163,1.16,48.0,20,7,1,32.0,4.3,0.12,2.790697674,0.06,0.58,0.003,0.28,0.082,5,0,0,4,1,0.643,0.374173143,-0.376138346,0.375335556,0.500648203,2.1232768077017568
1.5,48,1.5,0.348837209,0.0,0.0,20,7,1,32.0,4.3,0.12,2.790697674,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.810799545,-0.917692011,-0.087522662,0.225729789,-1.0819079902410635
0.0,0,6.6,1.65,0.6,48.0,20,7,1,45.0,4.0,0.114,2.85,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.224025941,0.125358239,0.613320104,9.649158015,5.564612501667568
4.0,24,6.6,1.65,1.28,48.0,20,7,1,45.0,4.0,0.114,2.85,0.06,0.58,0.003,0.28,0.082,5,1,0,4,1,0.643,0.350407278,-0.324716441,0.406015431,5.586940803,5.709863493498403
0.0,0,2.1,0.525,1.6,48.0,20,7,1,45.0,4.0,0.114,2.85,0.06,0.58,0.003,0.28,0.082,4,0,0,4,1,0.643,0.241143148,0.068052075,0.586155657,0.0,2.215435718811193
4.0,24,2.1,0.525,1.46,48.0,20,7,1,45.0,4.0,0.114,2.85,0.06,0.58,0.003,0.28,0.082,5,0,0,4,1,0.643,0.368235781,-0.363344462,0.382987049,0.0,2.1434668095745906
1.5,48,1.5,0.375,0.0,0.0,20,7,1,45.0,4.0,0.114,2.85,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.810440625,-0.917638306,-0.087240045,0.0,-1.1754556047069968
0.0,0,2.7,0.38028169,1.66,48.0,20,7,1,46.0,7.1,0.313,4.408450704,0.06,0.58,0.003,0.28,0.082,4,0,0,4,1,0.643,0.330896866,-0.10137642,0.476483246,0.569512606,0.9579285673845561
7.1,24,2.7,0.38028169,1.24,48.0,20,7,1,46.0,7.1,0.313,4.408450704,0.06,0.58,0.003,0.28,0.082,5,0,0,4,1,0.643,0.495080127,-0.599840288,0.228729832,0.751672269,0.7761366394862534
1.5,48,1.5,0.211267606,0.0,0.0,20,7,1,46.0,7.1,0.313,4.408450704,0.06,0.58,0.003,0.28,0.082,0,2,0,4,1,0.643,0.836820669,-0.934417772,-0.111219945,0.0,1.4452254407416376
0.0,0,5.2,1.238095238,0.2,48.0,20,7,1,95.0,4.2,0.141,3.357142857,0.06,0.58,0.003,0.28,0.082,4,1,0,4,1,0.643,0.238288012,0.109011467,0.598536858,7.236830865,4.6211143575521305
