Preoxidant dose (mg/L),Preoxidation time (h),Disinfectant dose (mg/L),Disinfectant/DOC,Total residual chlorine (mg/L),Reaction time (h),Temperature (C),pH,Buffer concentration (mM),Bromide concentration (ug/L),DOC (mg/L),UV254 (cm-1),SUVA254,Ammonia (mg-N/L),Nitrate (mg-N/L),Nitrite (mg-N/L),DON (mg/L),DON/DOC,Preoxidant,Disinfectant,Quenching agent,Buffer,Water source,DIN,DCAN
0.0,0.0,8.0,4.0,3.641945975,72.0,21.0,7.0,28.0,89.22821811,2.0,0.037016164,1.613070533,0.2117625,4.344865054,0.258085711,0.29,0.145,4,0,2,4,0,4.814713264999999,0.56
0.0,0.0,40.0,4.938271605,19.74519029,48.0,20.0,7.0,11.95,50.0,8.1,0.12,1.481481481,0.11,0.04,0.01,0.79,0.097530864,4,1,0,4,1,0.16,4.989294859
1.58034,32.98604854,12.4,2.755555556,3.482188495,72.0,22.92,6.5,40.0,144.0,4.5,0.153,3.4,0.349,4.031352695,0.214844326,0.34360637,0.109087321,6,1,2,4,2,4.595197021,6.301312002
0.0,0.0,76.60819362,11.00545403,1.0,24.0,20.0,8.0,1000.0,0.0,1.6,0.038,2.375,0.0,0.0,0.0,0.04,0.025,4,1,2,3,2,0.0,0.25
0.0,0.0,12.0,3.0,5.547942028,168.0,25.0,7.2,10.0,0.0,4.0,0.0128,0.32,0.0,0.0,0.0,0.083333332,0.020833333,4,0,2,4,2,0.0,2.52
0.0,0.0,73.28345418,7.314472602,1.0,24.0,20.0,8.0,1000.0,30.0,2.5,0.154,6.16,0.0,1.07,0.0,0.142422881,0.050936184,4,1,2,3,2,1.07,0.51
0.0,0.0,13.73393278,3.698542721,1.735130107,48.0,50.0,8.0,2.0,174.8492299,4.0,0.08719985,2.168527542,0.40134,3.838266099,0.133089571,0.507609705,0.126972389,4,1,2,3,2,4.372695670000001,0.46455534
0.0,0.0,3.6,3.0,2.656700932,0.3,22.6,7.0,30.0,253.0086578,1.2,0.00048,0.04,0.92453,8.584206596,0.302680496,0.718358333,0.220435516,4,1,6,4,1,9.811417092000001,0.763203311
0.0,0.0,9.798525931,2.295456824,1.72318252,120.0,4.0,8.0,2.0,119.6168665,4.0,0.127875264,3.18162976,0.192598333,9.352684397,0.112702199,0.348694863,0.084867038,4,1,2,3,2,9.657984929,17.42498938
0.0,0.0,8.073502978,3.015087314,4.0,168.0,20.0,7.0,1.0,271.0903431,2.67770122,0.060319516,2.252660432,0.113035,4.500888865,0.082691397,0.350320183,0.107751628,4,1,5,4,2,4.696615262,18.09035877
0.0,0.0,73.7895968,9.211829609,1.0,24.0,20.0,8.0,1000.0,0.0,1.7,0.077,4.529411765,0.0,0.0,0.0,0.06,0.035294118,4,1,2,3,2,0.0,0.34
0.0,0.0,3.6,3.0,1.751062317,24.0,22.3,7.0,30.0,253.1173717,1.2,0.00048,0.04,0.55881,3.313406596,0.234262695,0.629848077,0.226298082,4,1,6,4,1,4.106479291,3.660703802
0.0,0.0,15.0,3.0,4.574573783,24.0,25.0,5.0,10.0,0.0,5.0,0.166,3.32,0.12,0.7,0.003,0.47,0.094,4,1,2,4,2,0.823,19.77706564
0.0,0.0,213.0,9.342105263,34.0268292,168.0,25.0,7.0,20.0,61.0,22.8,0.5244,2.3,23.6,0.0,0.0,10.8,0.473684211,4,0,2,2,3,23.6,18.56130135
0.0,0.0,117.0952384,5.940280229,1.0,24.0,20.0,8.0,1000.0,40.0,13.8,0.404,2.927536232,0.0,0.0,0.0,0.44,0.031884058,4,1,2,3,2,0.0,4.39
20.0,6.0,16.63,10.39375,3.868892692,24.0,22.0,7.0,10.0,60.0,1.6,0.0304,1.9,0.11,1.22,0.19,0.51,0.31875,2,1,7,4,1,1.52,0.35001013
2.0,0.5,9.0,2.884615385,6.077192407,24.0,25.0,7.0,10.0,466.4557077,3.12,0.067297016,2.125822758,0.78,0.7,0.006,0.92,0.294871795,6,1,0,4,2,1.486,0.0
0.0,0.0,20.0,5.0,4.473493744,24.0,22.0,7.5,2.0,1000.0,4.0,0.156,3.9,0.0,0.0,0.0,0.083333332,0.020833333,4,1,2,4,2,0.0,0.513600627
0.0,0.0,300.0,85.71428571,16.5,168.0,25.0,7.0,20.0,59.48432506,3.5,0.04095,1.17,1.97353,5.389555667,0.308862463,3.564975,0.394235355,4,0,2,2,1,7.67194813,3.1
0.0,0.0,75.51878132,7.254850906,1.0,24.0,20.0,8.0,1000.0,0.0,3.1,0.161,5.193548387,0.0,0.0,0.0,0.16,0.051612903,4,1,2,3,2,0.0,0.43
0.0,0.0,6.0,2.0,3.804317369,24.0,25.0,7.0,2.0,50.0,3.0,0.029147825,1.215445658,0.54495,3.686607092,0.173108794,0.444663549,0.148589899,4,0,2,4,0,4.404665886,5.101683737
10.34,0.333333333,27.75773143,3.406003183,9.713672654,24.0,20.0,7.125147908,48.54,248.0,10.34,0.054,0.522243714,0.136,0.2,0.004,0.61,0.058994197,5,0,0,4,1,0.34,0.355184959
0.0,0.0,40.0,11.33144476,33.0,168.0,25.0,7.0,20.0,35.24500608,3.53,0.049067,1.39,0.810035,6.074058052,0.346836099,1.041741429,0.208872876,4,1,2,2,1,7.230929151,0.2
0.0,0.0,50.0,6.345177665,24.5,168.0,25.0,8.3,20.0,925.405321,7.88,0.200152,2.54,0.0,17.80227805,0.326246358,2.304001074,0.336991661,4,0,2,2,2,18.128524408,2.4
0.0,0.0,10.0,1.862891207,5.198670109,72.0,20.0,7.8,10.0,375.0521736,5.368,0.092954713,2.145317397,0.069,0.681,0.01,0.65,0.121087928,4,1,0,4,1,0.76,7.504028124
